Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,214) - 1/3*(1,234) + 5/3*(1,239) - 2/3*(1,240) + 1/3*(1,242) - 1/6*(1,243) - 1/3*(1,244) - 5/3*(1,245) + 7/6*(1,246) + 1/3*(1,247) - 2/3*(1,249) - 1/6*(1,250) + (1,251) + 5/6*(1,252) - 1/2*(1,257) - 1/3*(1,258) + 1/3*(1,259) + 1/3*(1,260) + 4/3*(1,261) - (1,262) + 1/2*(1,263) - (1,264) + 1/2*(1,265) + 1/2*(1,266) + 1/6*(1,267) - 1/6*(1,268) - 5/6*(1,269) + 5/6*(1,270) - 1/2*(1,271) + 1/2*(1,272) - 1/2*(1,273) + 1/3*(1,274) - (1,275) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
   -256    148            2/3
   -256    406            2/3
   -255    253           -8/3
   -255    301           -8/3
   -252    272            N/A
   -252    282            N/A
   -248     80          -14/3
   -248    474          -14/3
   -247    169           16/3
   -247    385           16/3
   -243    119          -40/3
   -243    435          -40/3
   -236    128            8/3
   -236    426            8/3
   -228    270              0
   -228    284              0
   -220    210             -2
   -220    344             -2
   -215     93            8/3
   -215    461            8/3
   -211     73             -4
   -211    481             -4
   -208     30          -26/3
   -208    524          -26/3
   -207     65             -4
   -207    489             -4
   -203    159           26/3
   -203    395           26/3
   -196    268          -14/3
   -196    286          -14/3
   -192    202          -10/3
   -192    352          -10/3
   -191     45           -8/3
   -191    509           -8/3
   -188     56           -4/3
   -188    498           -4/3
   -187     87             -6
   -187    467             -6
   -175    235            N/A
   -175    319            N/A
   -171     99           -2/3
   -171    455           -2/3
   -164    152          -14/3
   -164    402          -14/3
   -160    242             10
   -160    312             10
   -156    266           22/3
   -156    288           22/3
   -155    251            2/3
   -155    303            2/3
   -147     31           -8/3
   -147    523           -8/3
   -144    166              2
   -144    388              2
   -136    124            8/3
   -136    430            8/3
   -131    223            4/3
   -131    331            4/3
   -123    185            8/3
   -123    369            8/3
   -120    218              0
   -120    336              0
   -116    182           14/3
   -116    372           14/3
   -112    188            N/A
   -112    366            N/A
   -108    264             -2
   -108    290             -2
   -100     46          -16/3
   -100    508          -16/3
    -92    228           10/3
    -92    326           10/3
    -91    179              0
    -91    375              0
    -88    110            8/3
    -88    444            8/3
    -87     81             -2
    -87    473             -2
    -84     32            2/3
    -84    522            2/3
    -83    191            4/3
    -83    363            4/3
    -79    205           16/3
    -79    349           16/3
    -76     66           -4/3
    -76    488           -4/3
    -75     57              2
    -75    497              2
    -71    115             -4
    -71    439             -4
    -67    137          -10/3
    -67    417          -10/3
    -64     74              4
    -64    480              4
    -63    141            N/A
    -63    413            N/A
    -59    213           -8/3
    -59    341           -8/3
    -55    105             -2
    -55    449             -2
    -52    262              0
    -52    292              0
    -48    176             -4
    -48    378             -4
    -47    249           -2/3
    -47    305           -2/3
    -40    156          -16/3
    -40    398          -16/3
    -39    133           -8/3
    -39    421           -8/3
    -36    194           -8/3
    -36    360           -8/3
    -28     94            N/A
    -28    460            N/A
    -27    145              6
    -27    409              6
    -23    163            4/3
    -23    391            4/3
    -19     33              2
    -19    521              2
    -16    240             -2
    -16    314             -2
    -12     88              2
    -12    466              2
     -7     47            N/A
     -7    507            N/A
     -4    120           10/3
     -4    434           10/3
     -3    233             -2
     -3    321             -2
