Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,224) - 2/3*(1,234) + 4/3*(1,239) - 4/3*(1,240) - 1/3*(1,242) - 1/3*(1,243) - 2/3*(1,244) + 2/3*(1,245) + 1/3*(1,246) - 1/3*(1,247) + 2/3*(1,249) - 4/3*(1,250) + 2/3*(1,252) - 2/3*(1,258) + 2/3*(1,259) + 2/3*(1,260) + 2/3*(1,261) - 2/3*(1,267) + 2/3*(1,268) - 2/3*(1,269) + 2/3*(1,270) - 1/3*(1,274) - (1,275) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
   -368    456              0
   -367     43            4/3
   -367    511            4/3
   -364    196              4
   -364    358              4
   -363    207           -4/3
   -363    347           -4/3
   -360     86            8/3
   -360    468            8/3
   -356     72            8/3
   -356    482            8/3
   -352    220           16/3
   -352    334           16/3
   -351    155            8/3
   -351    399            8/3
   -348    162           -8/3
   -348    392           -8/3
   -347    255           16/3
   -347    299           16/3
   -344    140           -8/3
   -344    414           -8/3
   -343    225            N/A
   -343    329            N/A
   -340    136            8/3
   -340    418            8/3
   -339    237           -4/3
   -339    317           -4/3
   -336     64           -8/3
   -336    490           -8/3
   -332    172           -4/3
   -332    382           -4/3
   -324     28            8/3
   -324    526            8/3
   -316    144           -4/3
   -316    410           -4/3
   -311    215            4/3
   -311    339            4/3
   -307    109            8/3
   -307    445            8/3
   -304    132            8/3
   -304    422            8/3
   -300    114            8/3
   -300    440            8/3
   -299     55             -4
   -299    499             -4
   -296    244          -16/3
   -296    310          -16/3
   -287    199           -4/3
   -287    355           -4/3
   -284    230            8/3
   -284    324            8/3
   -280     44              4
   -280    510              4
   -276    276           -4/3
   -276    278           -4/3
   -268    274           16/3
   -268    280           16/3
   -267     29              8
   -267    525              8
   -264    104            4/3
   -264    450            4/3
   -256    148            4/3
   -256    406            4/3
   -255    253           -4/3
   -255    301           -4/3
   -252    272            N/A
   -252    282            N/A
   -248     80           -4/3
   -248    474           -4/3
   -247    169            8/3
   -247    385            8/3
   -243    119          -20/3
   -243    435          -20/3
   -236    128            4/3
   -236    426            4/3
   -228    270              4
   -228    284              4
   -220    210             -4
   -220    344             -4
   -215     93            4/3
   -215    461            4/3
   -211     73              0
   -211    481              0
   -208     30          -16/3
   -208    524          -16/3
   -207     65             -4
   -207    489             -4
   -203    159            4/3
   -203    395            4/3
   -196    268          -16/3
   -196    286          -16/3
   -192    202            4/3
   -192    352            4/3
   -191     45           -4/3
   -191    509           -4/3
   -188     56            4/3
   -188    498            4/3
   -187     87              0
   -187    467              0
   -175    235            N/A
   -175    319            N/A
   -171     99           -4/3
   -171    455           -4/3
   -164    152          -16/3
   -164    402          -16/3
   -160    242              4
   -160    312              4
   -156    266            8/3
   -156    288            8/3
   -155    251            4/3
   -155    303            4/3
   -147     31           -4/3
   -147    523           -4/3
   -144    166              0
   -144    388              0
   -136    124            4/3
   -136    430            4/3
   -131    223            8/3
   -131    331            8/3
   -123    185            4/3
   -123    369            4/3
   -120    218              0
   -120    336              0
   -116    182           16/3
   -116    372           16/3
   -112    188            N/A
   -112    366            N/A
   -108    264              0
   -108    290              0
   -100     46           -8/3
   -100    508           -8/3
    -92    228           -4/3
    -92    326           -4/3
    -91    179              0
    -91    375              0
    -88    110            4/3
    -88    444            4/3
    -87     81              0
    -87    473              0
    -84     32            4/3
    -84    522            4/3
    -83    191           -4/3
    -83    363           -4/3
    -79    205            8/3
    -79    349            8/3
    -76     66            4/3
    -76    488            4/3
    -75     57              0
    -75    497              0
    -71    115             -4
    -71    439             -4
    -67    137           -8/3
    -67    417           -8/3
    -64     74              0
    -64    480              0
    -63    141            N/A
    -63    413            N/A
    -59    213           -4/3
    -59    341           -4/3
    -55    105              0
    -55    449              0
    -52    262              0
    -52    292              0
    -48    176             -4
    -48    378             -4
    -47    249           -4/3
    -47    305           -4/3
    -40    156           -8/3
    -40    398           -8/3
    -39    133           -4/3
    -39    421           -4/3
    -36    194           -4/3
    -36    360           -4/3
    -28     94            N/A
    -28    460            N/A
    -27    145              4
    -27    409              4
    -23    163            8/3
    -23    391            8/3
    -19     33              0
    -19    521              0
    -16    240              0
    -16    314              0
    -12     88              0
    -12    466              0
     -7     47            N/A
     -7    507            N/A
     -4    120            8/3
     -4    434            8/3
