Data for the skew-holomorphic Jacobi modular form resulting from applying the map for the $m$-admissible pair (Delta_0,r_0)=(-7,47) to the modular symbol (1,218) - 5/3*(1,234) + 4/3*(1,239) - 4/3*(1,240) + 2/3*(1,242) - 1/3*(1,243) - 2/3*(1,244) - 4/3*(1,245) + 4/3*(1,246) + 2/3*(1,247) - 1/3*(1,249) - 4/3*(1,250) + (1,251) + 5/3*(1,252) - (1,257) + 1/3*(1,258) + 2/3*(1,259) - 1/3*(1,260) + 5/3*(1,261) - (1,262) + (1,263) + (1,266) - 2/3*(1,267) + 2/3*(1,268) - 5/3*(1,269) + 5/3*(1,270) - (1,271) - 1/3*(1,274) - 2*(1,275) of weight 2 and level 277.  Data generated by the following Sage code:

ms277_basis = kernel(ModularSymbols(Gamma0(277), 2).plus_submodule().cuspidal_submodule().new_submodule().atkin_lehner_operator() - 1).gens()
jmf277_basis = [compute_jacobi_fast(phi,-7,47,500) for phi in ms277_basis]

Weight: 2
Index: 277

Coefficients:
====================================
  Delta      r     c(Delta,r)
    -71    439             -4
    -67    137          -20/3
    -67    417          -20/3
    -64     74              0
    -64    480              0
    -63    141            N/A
    -63    413            N/A
    -59    213          -16/3
    -59    341          -16/3
    -55    105              0
    -55    449              0
    -52    262              0
    -52    292              0
    -48    176             -4
    -48    378             -4
    -47    249           -4/3
    -47    305           -4/3
    -40    156           -8/3
    -40    398           -8/3
    -39    133           -4/3
    -39    421           -4/3
    -36    194            8/3
    -36    360            8/3
    -28     94            N/A
    -28    460            N/A
    -27    145              4
    -27    409              4
    -23    163           -4/3
    -23    391           -4/3
    -19     33              0
    -19    521              0
    -16    240             -4
    -16    314             -4
    -12     88              4
    -12    466              4
     -7     47            N/A
     -7    507            N/A
     -4    120            8/3
     -4    434            8/3
